page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
10,BUSINESS ANALYSIS Entity relationship diagrams 229 Class models 237 Modelling in Agile approaches 244 The use of models in system maintenance 245 Summary 245 13. 	 DELIVERING THE REQUIREMENTS 246 Introduction 246 Delivering the solution 246 Context 247 Delivery lifecycle 248 Development and delivery approach 256 Roles 260 Deliverables 261 Techniques 262 Summary 262 14. 	 DELIVERING THE BUSINESS SOLUTION 264 Introduction 264 Stages of the business change lifecycle 264 BA role in the business change lifecycle 265 Summary 273 Index 275 viii,564,81,141.0
11,"LIST OF FIGURES AND TABLES Figure 1.1	 The business change lifecycle 4 Figure 1.2	 The potential range of the business analyst role 6 Figure 1.3	 The POPIT model showing the views of a  	 	 business system 9 Figure 1.4	 The Business Analysis Maturity Model™ 14 Figure 1.5	 The Capability Maturity Model Integration 15 Figure 1.6	 CMMI for business analysis 16 Figure 2.1	 The competencies of a business analyst 19 Figure 2.2	 Skills analysis matrix 30 Figure 3.1	 Porter’s Five Forces model 45 Figure 3.2	 The Boston Box 49 Figure 3.3	 Format of a SWOT matrix 50 Figure 3.4	 McKinsey’s 7-S Model 52 Figure 3.5	 The Balanced Business Scorecard 53 Figure 4.1	 A problem solving model (after Isaksen and  	 	 Treffinger,1985) 57 Figure 4.2	 The Business Analysis Process Model 58 Figure 4.3	 Extended Business Analysis Process Model 69 Figure 5.1	 ‘STOP’, the organisation hierarchy 76 Figure 5.2	 The structure of an interview 78 Figure 5.3	 Workshop techniques 84 Figure 5.4	 Process for developing scenarios 88 Figure 5.5	 Example of a rich picture 98 Figure 5.6	 Example of a mind map 99 Figure 5.7	 Example of a spaghetti map 100 Figure 5.8	 Example of a fishbone diagram 101 Figure 6.1	 Stakeholder management in the project lifecycle 103 Figure 6.2	 The stakeholder wheel 104 Figure 6.3	 Stakeholder power/interest analysis 107 Figure 6.4	 Basic stakeholder management strategies 108 Figure 6.5	 RACI chart 113 Figure 6.6	 RASCI chart 114 Figure 6.7	 Business analysis using SSM concepts 115 Figure 6.8	 Contrasting perspectives for Rake’s Refreshments 117 Figure 6.9	 Business activity model for Rake’s Refreshments 119 Figure 6.10	 Thread of business activities relating to  	 	 staff management 121 Figure 7.1	 Functional view of an organisation 124 Figure 7.2	 Organisation model (after Harmon, 2007) 125 ix",1851,285,462.75
12,BUSINESS ANALYSIS Figure 7.3	 A process receiving input and producing output 127 Figure 7.4	 Outline process map 127 Figure 7.5	 Overview process map for a lending library 127 Figure 7.6	 Porter’s value chain 128 Figure 7.7	 Example value chain activities for a manufacturing  	 	 organisation 129 Figure 7.8	 Elements of a value proposition 130 Figure 7.9	 Business process model for ‘Loan item’ process 133 Figure 7.10	 Business process ‘Loan item’ with alternative paths 134 Figure 7.11	 Business process model with link from another process 134 Figure 7.12	 Process model hierarchy 136 Figure 7.13	 Task completed by two actors  137 Figure 7.14	 Hand-offs on the high-level process model 139 Figure 7.15	 Process model with timeline added 146 Figure 8.1	 The POPIT model 152 Figure 8.2	 McKinsey’s 7-S model 154 Figure 8.3	 Example value stream for mortgage application 161 Figure 9.1	 The business case in the project lifecycle 164 Figure 9.2	 Process for developing options 165 Figure 9.3	 Incremental options 165 Figure 9.4	 Aspects of feasibility 166 Figure 9.5	 Force-field analysis 168 Figure 9.6	 Categories of costs and benefits 170 Figure 9.7	 Gantt/bar chart for a proposed project 175 Figure 10.1	 The duckrabbit 184 Figure 10.2	 Requirements engineering framework 185 Figure 10.3	 Tacit to explicit knowledge 193 Figure 11.1	 Contents of a requirements document 206 Figure 11.2	 Types of requirements 207 Figure 11.3	 Categories of requirements 208 Figure 11.4	 Elements of requirements management 218 Figure 12.1	 Use case diagram for a project management  	 	 organisation 225 Figure 12.2	 System use case diagram for a project control system 226 Figure 12.3	 Use case diagram showing <<include>> 227 Figure 12.4	 Use case diagram showing <<include>> and <<extend>> 228 Figure 12.5	 One-to-many relationship between two entities 230 Figure 12.6	 One-to-one relationship between two entities 231 Figure 12.7	 Fully mandatory one-to-many relationship 232 Figure 12.8	 Fully optional one-to-many relationship 232 Figure 12.9	 Mandatory parent entity with optional child entity 233 Figure 12.10	 Optional parent entity with mandatory child entity 233 Figure 12.11	 Many-to-many relationship 234 Figure 12.12	 Resolved many-to-many relationship 234 Figure 12.13	 Named relationship between entities 235 Figure 12.14	 Exclusive relationships 236 Figure 12.15	 Entity relationship diagram for a sales system 236 Figure 12.16	 Alternative data modelling notation 237 Figure 12.17	 Definition of the class ‘Order’ 239 Figure 12.18	 Association between two classes 239 x,2626,379,656.5
13,"LIST OF FIGURES AND TABLES Figure 12.19	 Association showing one-to-many multiplicity 240 Figure 12.20	 Association showing optional multiplicity 240 Figure 12.21	 Association showing mandatory one-to-many multiplicity 241 Figure 12.22	 Association showing defined range of multiplicity 241 Figure 12.23	 Association with many:many multiplicity 242 Figure 12.24	 An association class 242 Figure 12.25	 Generalisation structure 243 Figure 12.26	 Class model for a sales system 244 Figure 13.1	 Factors in deciding the delivery approach 247 Figure 13.2	 The business change lifecycle 248 Figure 13.3	 The waterfall lifecycle 249 Figure 13.4	 The ‘V’ model 250 Figure 13.5	 Extended ‘V’ model 251 Figure 13.6	 Incremental lifecycle 252 Figure 13.7	 Generic Agile model 254 Figure 14.1	 The business change lifecycle 264 Figure 14.2	 The POPIT model 266 Figure 14.3	 Example decision table 268 Figure 14.4	 Example state chart 268 Figure 14.5	 The SARAH model 269 Figure 14.6	 Benefits dependency network (adapted from Ward  	 	 and Daniels (2012)) 271 Table 5.1	 Suitability of techniques for different situations 97 Table 8.1	 Examples of foundation level business capabilities 160 Table 9.1	 Example of a payback calculation 176 Table 9.2	 Example of a net present value calculation 177 Table 10.1	 Levels of tacit and explicit knowledge 192 Table 10.2	 Techniques and knowledge types (after Maiden  	 	 and Rugg, 1995, and Eva, 2001) 194 Table 10.3	 Example requirements list 194 xi",1510,218,377.5
14,"CONTRIBUTORS Debra Paul Debra Paul is a Chartered Fellow of BCS, The Chartered Institute for IT (BCS) and is the  Managing Director of Assist Knowledge Development. Debra has extensive experience  in business analysis and business improvement and is the BCS Chief Examiner for  Business Analysis. Debra is a founder member of the BA Manager Forum and was on  the inaugural board of IIBA UK. Debra is co-author of BCS publications Business Analysis  Techniques and The Human Touch. She is a regular speaker at business seminars and  industry events.",548,88,137.0
14,"James Cadle James Cadle is a Chartered Fellow of BCS and has worked in business analysis  and project management for more than 35 years. As a director of Assist Knowledge  Development, he has created and presented a range of courses in his specialist subjects.  James is a BCS oral examiner and the co-author of five books including Business  Analysis Techniques, The Human Touch and Developing Information Systems. Donald Yeates Donald Yeates is a Chartered Fellow of BCS, and was awarded an Honorary Fellowship  and given a Lifetime Achievement Award by the Institute for his work in the development  of examination and certification schemes. He has an Honorary Degree as a Doctor of  Technology from the University of Wolverhampton.",735,118,183.75
14,"He has worked internationally in  leadership development and as a coach for Henley Business School.  Malcolm Eva Malcolm Eva has been involved in the world of IS development since 1980, working as a  programmer, systems analyst and business analyst. As well as practising in the public  and private sectors, he has taught at university level, and spent several years delivering  training in Business Analysis. He is the author of SSADM: A User’s Guide, co-author with  Steve Skidmore of Introducing Systems Development and has authored several papers  on systems development, business analysis and requirements engineering.  Keith Hindle Keith Hindle has more than 30 years’ experience of consulting and training in IS systems  development, business analysis and business change, working in both the public and  private sectors.",828,125,207.0
14,He has a special interest in benefits management and has co-authored  three books. He is a Chartered Member of BCS. xii,119,21,29.75
15,"CONTRIBUTORS Craig Rollason Craig Rollason is UK Business Analysis Manager at energy company National Grid. Craig  is responsible for recruitment, team development, and quality of analysis in a matrixed  team consisting of internal staff, contractors and third party suppliers. He has worked  across a number of industry sectors as an analyst including manufacturing, government  and utilities. He is a member of both BCS and the UK BA Manager Forum. Paul Turner Paul Turner is a Chartered Fellow of BCS and provides training and consultancy in  business architecture, business analysis, business change and solution development.",629,94,157.25
15," Paul is a director of Assist Knowledge Development and is a BCS oral examiner and  Chief Examiner for the BCS Diplomas in Consultancy and Solution Development. He  is a qualified DSDM/Agile practitioner and a regular speaker at conferences, often as  keynote. Paul is the co-author of four books. xiii",302,49,75.5
16,"FOREWORD Since the second edition of this book was published in 2010, business analysis has  continued to grow, evolve and gain momentum as a profession. Increasingly, the  business analysis practice, and the capability it offers to organisations, is viewed as  a strategic asset that drives a thorough understanding of the business environment  and of business problems. As a result, it is seen as a vital resource that enables the  successful implementation of valuable business change. Business analysis practitioners are finding their profession has gained increased  recognition, both within their organisations and beyond. The idea of community has  grown and grown; whether that is external BA communities, internal ‘communities  of practice’ or virtual communities.",773,113,193.25
16,"However, we must not stand still. It was difficult  to imagine how the previous edition could have been improved, yet the authors have  certainly done so. This edition brings many welcome additions. The CMMI model for Business Analysis is of particular interest as it brings the idea  of a framework of maturity, and I suspect many BA practices will find this useful as  a yardstick. Having a centrally defined and well-researched framework will be of  significant benefit.",473,77,118.25
16,"There’s more of an Agile flavour throughout the book. Previous versions of the book have  been completely compatible with an Agile approach but in this version it is mentioned  much more explicitly. This highlights that business analysis is equally crucial on Agile,  iterative and linear waterfall projects. The addition of a new expanded chapter which focuses on defining the solution will be of  interest to many readers too. The chapter includes an extended section on gap analysis  and, notably, a section on business architecture principles and techniques.",562,87,140.5
16,"This helps  position business analysis and architecture as complementary skill sets. This book has always been at the heart of the business analysis profession. This edition  shows that the international BA community is pushing forward, evolving and keeping  with the times. I have no doubt that the book will continue to be an extremely useful  resource that will be referenced by new and experienced practitioners alike. Adrian Reed, CBAP President, IIBA UK Chapter xiv",471,74,117.75
17,"ABBREVIATIONS BA		 Business Analyst BAM	 Business Activity Model BAMM	 Business Analysis Maturity Model BBS	 Balanced Business Scorecard BCS	 BCS, The Chartered Institute for IT BPMN	 Business Process Model and Notation CARDI (log)	 Constraints, Assumptions, Risks, Dependencies and Issues (log) CATWOE	 Customer, Actor, Transformation, World view (weltanschauung),  Owner, Environment CBAP	 Certified Business Analysis Professional CEO	 Chief Executive Officer CI	 	 Configuration Item CIO		 Chief Information Officer CMMI	 Capability Maturity Model Integration COTS	 Commercial Off-The-Shelf (software solution) CSF	 Critical Success Factor DBMS	 Database Management System DCF	 Discounted Cash Flow DMAIC	 Define, Measure, Analyse, Improve, Control DSDM	 Dynamic Systems Development Method	 ERD	 Entity Relationship Diagram ERP	 Enterprise Resource Planning HR		 Human Resources IET		 Institution of Engineering and Technology IIBA	 International Institute of Business Analysis IMIS	 Institute for the Management of Information Systems IRR	 Internal Rate of Return IS	 	 Information Systems IT	 	 Information Technology itSMF	 IT Service Management Forum xv",1161,145,290.25
18,"BUSINESS ANALYSIS KPI		 Key Performance Indicator MoSCoW	 Must have, Should have, Could have, Want to have but won’t have this  time MOST (analysis)	Mission, Objectives, Strategy and Tactics (analysis) NPV	 Net Present Value OSCAR	 Objectives, Scope, Constraints, Authority, Resources PESTLE	 Political, Economic, Sociocultural, Technological, Legal and  Environmental  POPIT™	 People, Organisation, Process, Information and Technology RACI (chart)	 Responsible, Accountable, Consulted and Informed (chart) RAID (log)	 Risks, Assumptions, Issues and Dependencies (log) RASCI (chart)	 Responsible, Accountable, Supportive, Consulted and Informed (chart) SARAH	 Shock, Anger, Rejection, Acceptance, Hope SBU	 Strategic Business Unit SDLC	 Systems Development Lifecycle SFIA	 Skills Framework for the Information Age SMART	 Specific, Measurable, Achievable, Relevant and Time-framed SSADM	 Structured Systems Analysis and Design Method SSM	 Soft Systems Methodology STROBE	 Structured Observation of the Business Environment SWOT	 Strengths, Weaknesses, Opportunities and Threats UML	 Unified Modeling Language UP		 Unified Process xvi",1134,139,283.5
19,GLOSSARY Activity sampling  An investigation technique carried out to determine the amount of  time individuals spend on different aspects of their work. Activity sampling is a form of  observation and involves the collection of data that may be used for statistical analysis. Agile  An approach to software development based upon the Agile Manifesto and using  evolutionary development and incremental delivery approaches. Actor  A role that performs areas of work within a business system. Actors are  modelled on swimlane diagrams and use case diagrams.,556,83,139.0
19,"Actors are usually user roles  and show the individual or group of individuals responsible for carrying out the work or  interacting with a system. An actor may also be an IT system or time. APM  The Association for Project Management; aims to develop and promote project  management. Balanced Business Scorecard  A Balanced Business Scorecard supports a strategic  management system by capturing both financial and non-financial measures of  performance. There are usually four quadrants – financial, customer, process, learning  and growth.",542,80,135.5
19,"The balanced business scorecard was developed by R. S. Kaplan, and D. P.  Norton. BCS, The Chartered Institute for IT  BCS is the leading international professional body  for the IT industry with over 70,000 members. BCS is responsible for setting standards  for the IT profession and advises and informs industry and government on successful  IT implementation. Benefits management  A process that is concerned with the delivery of the predicted  business benefits defined in the business case. This process includes managing projects  such that they are able to deliver the predicted benefits and, after the project has been  implemented, checking progress on the achievement of these benefits and taking any  actions required to enable their delivery.",754,115,188.5
19," Boston Box  A technique used to analyse the market potential of the products and  services provided by an organisation. The technique was defined by the Boston  Consulting Group. Business actor  Someone who has an interest in a project, either because they have  commissioned it, they work within the business system being studied or they will be the  users of a proposed new IT system. See Stakeholder. xvii",409,67,102.25
20,"BUSINESS ANALYSIS Business analysis  An advisory role which has the responsibility for investigating  and analysing business situations, identifying and evaluating options for improving  business systems, elaborating and defining requirements, and ensuring the effective  implementation and use of information systems in line with the needs of the business. Business Analysis Process Model  A framework for business analysis assignments  that incorporates the business context and has six stages – investigate situation,  consider perspectives, analyse needs, evaluate options, define requirements and deliver  changes. The framework places standard modelling techniques in context to help  analysts determine the most appropriate technique for individual business situations.  Business architecture  A set of artefacts that define several views of an organisation.  Business Activity Model (BAM)  A conceptual model that shows the set of business  activities that would be expected to be in place given the stakeholder perspective from  which it has been developed.",1066,145,266.5
20,"There are five types of business activity represented on a  business activity model. These are: planning, enabling, doing, monitoring and controlling  activities. See Business perspective. Business case  A document that describes the findings from a business analysis study  and presents a recommended course of action for senior management to consider.  A business case would normally include an introduction, management summary,  description of the current situation, options considered, analysis of costs and benefits,  impact assessment, risk assessment, recommendations, plus appendices that provide  detailed supporting information.",638,84,159.5
20," Business environment  See External business environment; Internal business  environment. Business event  A business event triggers the business system to do something.  Typically this is to initiate the business process that forms the business system response  to the event. In effect, the business events tell us when a business activity should be  initiated; it fires into life the process that carries out the activity. There are three types  of business event: external, internal and time-based business events.",516,76,129.0
20,Business option  A key step in developing a Business Case is to identify the options  available to address the business problem or opportunity. A business option describes  the scope and content of a proposed business solution and states what it is intended to  achieve in business terms. See Technical option. Business perspective  A view of the business system held by a stakeholder. The  business perspective will be based upon the values and beliefs of the stakeholder.,473,76,118.25
20,"These  values and beliefs will be encapsulated in a defined world view. There may be several  divergent business perspectives for any given business situation. See CATWOE. Business process  A linked set of tasks performed by a business in response to a  business event. The business process receives, manipulates and transfers information  or physical items, in order to produce an output of value to a customer.",412,65,103.0
20,See Business  process model. xviii,34,5,8.5
21,"GLOSSARY Business process model  A diagram showing the tasks that need to be carried out in  response to a business event, in order to achieve a specific goal. See Swimlane diagram.  Business rule  Business rules define how business activities are to be performed. It  is important that these rules are considered when modelling the processing to carry  out the activity. There are two main types of business rule: constraints that restrict  how an activity is performed; operational guidance that describes the procedures for  performing activities.",550,85,137.5
21,"Business sponsor  A senior person in an organisation who is accountable for delivering  the benefits of a business change. The sponsor is also responsible for providing  resources to the project team. Business strategy  A strategy describes the long-term direction set for an organisation  in order to achieve the organisational objectives.  Business system  A set of business components working together in order to achieve  a defined purpose. The components of a system include people, information, technology  processes and the organisation.",544,79,136.0
21,"See IT system. Business user  An individual member of staff working within the business who is  involved in a business change project. A business user may adopt a number of business  roles including business sponsor, domain expert and end user for a solution. Capability Maturity Model Integration (CMMI)  A model of five stages, showing  increasing maturity of operation. Provides guidance for improving the quality of  processes.",431,66,107.75
21,"CATWOE  A technique from the Soft Systems Methodology that provides a framework  for defining and analysing business perspectives. The mnemonic stands for: C –  customer, A – actor, T – transformation, W – world view, O – owner, E – environment.  See Business perspective, Soft systems methodology. CBAP®  The Certified Business Analysis Professional awarded by the International  Institute of Business Analysis (IIBA®). IIBA® publishes the Business Analysis Body of  Knowledge® (BABOK®).",488,71,122.0
21,"Change control  A process whereby changes to requirements are handled in a  controlled fashion. The change control process defines the process steps to be carried  out when dealing with a proposed change. These steps include documenting the change,  analysing the impact of the change, evaluating the impact of the change in order to  decide upon the course of action to take, and deciding whether or not to apply the  change. The analysis and decisions should be documented in order to provide an audit  trail relating to the proposed change.  Class  A class is a definition of the attributes and operations shared by a set of objects  within a business system.",662,110,165.5
21,Each object is an instance of a particular class. See Object. Class model  A technique from the Unified Modeling Language (UML). A class model  describes the classes in a system and their associations with each other.  xix,222,37,55.5
22,"BUSINESS ANALYSIS Cloud computing  A general term for the delivery of hosted services over the internet. Competency (or Competence)  A competency is a skill or quality an individual needs  to perform his or her job effectively.  Computer-Aided Software Engineering (CASE)  An automated toolset that provides  facilities to support requirements engineering and software development. These  facilities will include the production and storage of documentation, management of  cross-references between documentation, restriction of access to documentation  and management of document versions. Sometimes known as Computer-Aided  Requirements Engineering (CARE).",657,85,164.25
22,"Consensus model  The definitive, agreed BAM derived from the individual stakeholder  BAMs.  Cost–benefit analysis  A technique that involves identifying the initial and ongoing  costs and benefits associated with a business change initiative. These costs and benefits  are then categorised as tangible or intangible and a financial value calculated for those  that are tangible. The financial values are analysed over a forward period in order to  assess the potential financial return to the organisation. This analysis may be carried  out using standard investment appraisal techniques.",588,84,147.0
22,See Payback period calculation (or  break-even analysis) and Discounted cash flow/net present value. Critical success factors  The areas in which an organisation must succeed in order to  achieve positive organisational performance. Discounted cash flow  An investment appraisal technique that takes account of the time  value of money. The annual net cash flow for each year following the implementation of  the change is reduced (discounted) in line with the estimated reduction in the value of  money. The discounted cash flows are then added to produce a net present value.,577,88,144.25
22,"See  Net present value. Document analysis  A technique whereby samples of documents are reviewed in  order to uncover information about an organisation, process, system or data.  DSDM  DSDM is a project delivery framework that emphasises continuous user  involvement and the importance of delivering the right solution at the right time. Entity relationship diagram  A diagram produced using the entity relationship  modelling technique. The diagram provides a representation of the data to be held in  the IT system under investigation.",537,79,134.25
22,See Entity relationship modelling. Entity relationship modelling  A technique that is used to model the data required  within an IT system. The technique models the data required to describe the ‘things’  the system wishes to hold data about – these are known as the ‘entities’ – and the  relationships between those entities. Ethnographic study  An ethnographic study is concerned with spending an extended  period of time within an organisation in order to obtain a detailed understanding of the  culture and behaviours of the business area under investigation.  xx,567,88,141.75
23,"GLOSSARY Explicit knowledge  The knowledge of procedures and data that is foremost in the  business users’ minds, and which they can easily articulate. See Tacit knowledge. External business environment  The business environment that is external to an  organisation and is the source of forces that may impact the organisation. Types of  forces may include the introduction of new laws, social trends or competitor actions.  See PESTLE, Porter’s five forces.",458,69,114.5
23,"Force-field analysis  A technique to consider those forces inside and outside the  organisation that will support adoption of a proposal and those that will oppose it. This  technique was developed originally by Kurt Lewin and may be used in evaluating options  for change and in change management. Functional requirement  A requirement that is concerned with a function that the  system should provide, i.e. what the system needs to do. Gap analysis  The comparison of two views of a business system, the current situation  and the desired future. The aim of gap analysis is to determine where the current  situation has problems or ‘gaps’ that need to be resolved.",666,108,166.5
23,"This leads to the identification  of actions to improve the situation. The business activity modelling technique may be  used to provide an ideal future view which can then be compared with a view of the  current situation. An alternative, more detailed approach is to use the business process  modelling technique, using ‘as is’ and ‘to be’ process models.  Holistic approach  The consideration of all aspects of a business system and their  interactions. This incorporates the people, process and organisational areas, in addition  to the information and technology used to support the business system.",604,93,151.0
23," IMIS  The Institute for the Management of Information Systems. Impact analysis  The consideration of the impact a proposed change will have on a  business system and on the people working within it.  Intangible benefit  A benefit to be realised by a business change project for which a  credible, usually monetary, value cannot be predicted. See Tangible benefit. Intangible cost  A cost incurred by a business change project for which a credible,  usually monetary, value cannot be predicted.",494,77,123.5
23,"See Tangible cost. Internal business environment  The internal capability of the organisation that affects  its ability to respond to external environment forces. Techniques such as MOST analysis  or the Resource Audit may be used to analyse the capability of the internal business  environment. See MOST analysis and Resource audit. Internal rate of return  A calculation that assesses the return on investment from a  project, defined as a percentage rate.",458,69,114.5
23,"This percentage is the discount rate at which the  Net Present Value is equal to zero and can be used to compare projects to see which are  the better investment opportunities. Alternatively, this rate may be used to compare all  projects with the return that could be earned if the amount invested was left in the bank.  xxi",325,58,81.25
24,BUSINESS ANALYSIS Interview  An investigation technique to elicit information from business users. An  interview agenda is prepared prior to the interview and distributed to participants.  The interview is carried out in an organised manner and a report of the interview is  produced once the interview has been concluded.  IT system  A set of automated components hosted on a computer that work together  in order to provide services to the system users. See Business system.,476,74,119.0
24,itSMF  An internationally recognised forum for IT service management professionals  Institution of Engineering And Technology (IET)  One of the world’s leading profes­ sional bodies for engineering and technology. Key Performance Indicators (KPIs)  These are specific areas of performance that are  monitored in order to assess the performance of an organisation. Key performance  indicators are often identified in order to monitor progress of the critical success factors.  Measurable targets are set for KPIs. See Critical success factors.,542,76,135.5
24,"McKinsey 7-S  A framework developed by the McKinsey consultancy organisation. The  7-S model identifies key areas for the implementation of business change. MoSCoW  An approach to prioritising requirements. MoSCoW stands for: yy Must have – A mandatory requirement without which the system has no value.  yy Should have – A mandatory requirement that must be delivered, but, where  time is short, could be delayed for a future delivery.",436,68,109.0
24,"This should be a short term  delay.  yy Could have – A requirement that would be beneficial to include if it does not cost  too much or take too long to deliver, but it is not central to the project objectives. yy Want to have (but Won’t have this time) – A requirement that may be needed in  the future but is not required for this delivery.  MOST analysis  An analysis of an organisation’s Mission, Objectives, Strategy and  Tactics to identify any inherent strengths or weaknesses, for example from a lack of  strategic direction or unclear objectives. See Internal business environment.",590,101,147.5
24,"Net present value  The amount an investment is worth once all of the net annual cash- flows in the years following the current one are adjusted to today’s value of money. The  net present value is calculated using the discounted cash flow approach to investment  appraisal. See Discounted cash flow, Internal rate of return. Non-functional requirement  A requirement that defines a constraint or performance  measure that the system or the functional requirements must comply with.  Object  An object is something within a business system for which a set of attributes  and functions can be specified.",601,95,150.25
24,An object is an instance of a class. See Class.  Payback period calculation  An investment appraisal technique where a cash-flow  forecast for a project is produced using the current values of the incoming and outgoing  xxii,224,36,56.0
